id,"title","description","adress",one,two,three
11,"Kansopwerk.nl","Kans op werk toont de toekomstige kansen voor afgestudeerde mbo-studenten in bijna 500 beroepen op 4 opleidingsniveaus. Het gaat om de kans dat een schoolverlater een baan vindt in het verlengde van zijn opleiding. Kans op werk laat de kansen per beroep zien voor de 35 arbeidsmarktregio's. SBB vernieuwt deze informatie ieder jaar.  ","https://www.s-bb.nl/feiten-en-cijfers/kans-op-werk",1,1,0
12,"Kansverkenner","Met de Kansverkenner kunt u uw kans op een baan inschatten. Vul de gevraagde gegevens in en laat de Kansverkenner uw kans op werk berekenen","https://www.werk.nl/werk_nl/werknemer/solliciteren/test/kansverkenner",1,1,0
13,"KIRA","De KIRA-methodiek wordt weergegeven in een matrix en is opgebouwd uit 4 fasen: intake, assessment en oriëntatie, toeleiding en coaching. Bij elke fase wordt het doel, het cliëntprofiel, wat te doen en hoe te doen beschreven.De methodiek is geschreven voor mensen die werken in het veld van arbeidstoeleiding en is bedoeld voor jobcoaches en trajectbegeleiders.","https://www.kennisplein.be/Pages/KIRA--Arbeidstoeleiding-voor-mensen-met-autisme0120-5461.aspx",1,1,0
14,"Kwaliteitskaart arbeidstoeleiding","School aan Zet versterkt scholen in het speciaal- primair- en voortgezet onderwijs in hun ontwikkeling naar meer professionele lerende organisaties die in staat zijn zichzelf continu te verbeteren. Dit doen zij door met scholen te reflecteren, hen te inspireren en met elkaar te verbinden.Inmiddels heeft ook arbeidstoeleiding een plek gekregen bij de thema's van School aan Zet. In dat kader is een kwaliteitskaart Arbeidstoeleiding ontwikkeld. Dit is een handig hulpmiddel met tips en tricks voor arbeidstoeleiding.","http://www.schoolaanzet.nl/thematische-inhoud/kennis/artikel/kwaliteitskaart-arbeidstoeleiding-praktijkonderwijs-en-voortgezet-speciaal-onderwijs/?backPid=13851&cHash=3dd067007e07c8d855e37b9b3d64e894",1,1,0
15,"Leerlingportfolio","Een voorbeeldportfolio dat door het landelijk expertisecentrum voor speciaal onderwijs (lecso) is ontworpen en beschikbaar is gesteld voor het scholenveld. Met een CV, info over stages, competenties, hobby's, wensen, dromen etc.","https://bordfolio.nl/",1,1,0
16,"Lob Box","Deze site bevat lesmateriaal en informatie over loopbaanoriëntatie en begeleiding en is ontwikkeld voor docenten en leerlingen in het praktijkonderwijs en voortgezet speciaal onderwijs. De LOBBOX PRO VSO bevat docentenhandleidingen, opdrachtkaarten, films, lesbrieven, informatie over LOB-methoden en achtergrondinformatie over LOB. Deze LOBBOX wordt steeds aangevuld met nieuw materiaal.","http://lobbox.bekijkjetoekomstnu.nl/",1,1,0
17,"Prokkelstage","Met de Prokkelstage lopen leerlingen één dag stage in een (zorg)instelling, in de buurt, bij een speeltuinvereniging, bij de Tweede Kamer etc. Deze dag vindt elk jaar plaats in de eerste week van juni.","http://www.prokkel.nl/wat-is-een-prokkelstage/",1,1,0
18,"Stageplannen.nl","Het is een digitale tool die kan worden ingezet bij het opstellen van stageplannen op maat voor leerlingen uit vso en pro.14 Door middel van een stageplan wordt een beroepsgericht stageprogramma opgesteld waarbij aangesloten wordt bij het niveau van de leerling maar ook bij het gewenste takenpakket van de beoogde functie. Naast beroepsgerichte opdrachten kan een stageplan ook bestaan uit opdrachten gericht op algemene vaardigheden.","http://www.stageplannen.nl/cmswp/",1,1,0
19,"Strux","StruX is een complete methode voor deelnemers in het praktijkonderwijs, voortgezet speciaal onderwijs en de entreeopleiding. Met StruX leidt u deelnemers op naar een zelfstandige plaats in de maatschappij en naar arbeid. ","http://www.edu-actief.nl/strux",1,1,0
20,"SVA trajecten","Scholing voor arbeid (SVA16) is ontwikkeld door KPC Groep en bedoeld voor die groep jongeren die geen beroepskwalificatie kunnen halen. De methode bevat cursussen die het mogelijk maken jongeren te certificeren voor aantoonbare vaardigheden die zij nodig hebben op de arbeidsmarkt. De SVA-certificaten worden in samenwerking met het beroepenveld, het kenniscentrum en/of de branchevereniging ontwikkeld. Daardoor sluiten ze qua niveau en inhoud aan bij de doelgroep. Daar de programma's afgeleid zijn vande kwalificatiedossiers voor het mbo en erkend zijn door kenniscentra of brancheorganisaties, hebben de certificaten een civiele waarde.","http://www.scholingvoorarbeid.nl/over-sva.html",1,1,0
21,"Vervolgopleiding Arbeidstoeleiding","In de vervolg opleiding worden competenties uit de basisopleiding verstevigt en de kennis verreikt.  Ook de vervolgopleiding bestaat uit drie dagen, drie zelfstudiedagen en als afsluiting een intervisiemiddag. Tussen de opleidingsdagen door wordt het geleerde toegepast in de praktijk","http://www.edunova.nl/training/aanbod-aanmelding/vervolgopleiding-arbeidstoeleiding/",1,1,0
22,"Werken in-stagegidsen","De stage-gidsen 'Werken in de bouw', 'Werken in de keuken' etc. zijn erop gericht leerlingen in het praktijkonderwijs te helpen bij het kiezen van een stageplek. De serie bestaat uit negen vak-stagegidsen over werken in de bouw, keuken, schoonmaak, techniek, uiterlijke verzorging, winkel, zorg, groen en magazijn en een algemene stagegids. Elke stagegids bestaat uit een serie foto's met onderschrift van de werkplek, beschrijvingen van vaardigheden (competenties) die je voor deze stage nodig hebt en portretten van drie leerlingen die over hun stage-ervaringen vertellen. Daarnaast worden essentiële taken en werkzaamheden nog eens extra toegelicht en bevat de gids praktische informatie over stagevergoeding, verzekering etc. ","http://www.eenvoudigcommuniceren.nl/informatief/werken-in-stagegidsen",1,1,0
23,"Zedemo","ZEDEMO is een trainingsmethode voor mensen met een beperking. De methode richt zich op de ontwikkeling van motorische handvaardigheden. De methode is gebaseerd op de Engelse testprogramma's Mast 1 en Ruward (voor uitleg zie verderop). ZEDEMO omvat trainingsmaterialen, handleidingen, instructieboeken en registratieprogramma's.","http://zedemo.nl/",1,1,0
24,"In bedrijf","De methode In Bedrijf (voorheen Lerend Werken) is een publiek-privaat samenwerkingsverband tussen werkgevers, re-integratiebedrijven, opleidingsinstellingen en mogelijke gemeenten en het UWV. Het biedt leerwerktrajecten aan volwassen werkzoekenden.","http://www.interventiesnaarwerk.nl/sites/default/files/interventies/In_Bedrijf.pdf",1,0,1
25,"Samen-werken in de keten (workshop)","Op welke manier geef ik samenwerking met relevante ketenpartners vorm, zodat jongeren niet van de radar verdwijnen maar toegeleid worden naar een passende plek op de arbeidsmarkt en in de maatschappij? Met het veranderende, complexe speelveld van onderwijs, gemeente en (jeugd)zorg, is het van belang om de ontwikkelingen in samenhang met gemeenten, werkgevers en onderwijspartners te bezien en zo integraal als mogelijk op te pakken. Deze training biedt hiertoe relevante, actuele informatie en praktische handvatten voor het ontwikkelen van een adequate samenwerking met ketenpartners in de regio.","http://www.edunova.nl/training/aanbod-aanmelding/wat-we-nog-meer-doen/",1,0,1
26,"Begeleidingskaarten psychische beperkingen (SBCM)","Het kan zijn dat een nieuwe collega een psychische beperking en/of gedragsprobleem heeft. Hier moet in de begeleiding rekening mee gehouden worden. De begeleidingskaarten zijn een hulpmiddel bij de observatie en om te komen tot een juiste begeleidingsaanpak. De begeleidingskaarten bestaan uit een korte handleiding en een beschrijving van de zeven te onderscheiden gedragskenmerken, hoe deze te herkennen en hoe hiermee om te gaan. ","http://www.sbcm.nl/fileadmin/sbcm_data/sectoren/duurzame_banen/begeleidingskaarten_interactief_def.pdf",1,0,0
27,"BLINK! Jongerenloket","Jongerenloket BLINK! heeft als doel om jongeren een startkwalificatie te laten behalen. Het einddoel is duurzame uitstroom richting betaalde arbeid. Het loket bundelt de dienstverlening van ketenpartners UWV WERKbedrijf, ROC en gemeenten. Jongeren kunnen voor al hun vragen over school, werk, (tijdelijk) inkomen en (schuld)hulpverlening bij één loket terecht. De jongeren krijgen vervolgens individuele begeleiding van een vaste trajectcoach die hen helpt bij het werken aan belemmeringen en/of het vergroten van competenties.","http://www.interventiesnaarwerk.nl/interventies/blink-jongerenloket",1,0,0
28,"Boekjevoorbazen","Vanuit de campagne van het Gak-fonds, 'collega's met karakter, is een ABC voor werkgevers gemaakt over medewerkers met een psychische beperking. Van de A van angst tot de Z van ziekteverzuim.","https://werkgeversgaaninclusief.nl/sites/wgi/files/boekje_voor_bazen.pdf",1,0,0
29,"Boris Docentraining: Algemene introductie Borissystematiek ","Tijdens deze trainingsdag wordt ingegaan op de kenmerken van een werkend-leren-organisatie en op de uitgangspunten van de Borisaanpak. De workshop duurt 1 dag. ","http://www.borisbaan.nl/training_algemene_introductie_Borissystematiek.html",1,0,0
30,"Boris Docenttraining: Maatwerk-opleidingstraject organiseren","De Boris-systematiek is gebaseerd op het gebruik van de kwalificatiestructuur en de werkprocessen van het mbo. Deze zijn door het bedrijfsleven vastgesteld. Erkende leerbedrijven zijn bekend met de werkprocessen en de praktijkopleider met het opleiden daarvoor. De docent krijgt inzicht in het proces waarlangs de kenniscentra het takenpakket van een werkplek vertalen naar een set passende werkprocessen als bouwstenen voor het opleidingsplan en het actieplan. Inzicht in de kwalificatiestructuur komt ook aan bod.","http://www.borisbaan.nl/Training_maatwerk_maken_1.html",1,0,0
31,"Boris Docenttraining: Training Certificeren en nazorg","Juist voor de leerlingen die geen volledig (mbo-)diploma kunnen behalen biedt certificering van de werkprocessen of branchecertificering uitkomst. Certificering is ook noodzakelijk als bewijs van bekwaamheid voor arbeid. De werkend leren trajecten worden daarom afgesloten met een (branche-)certificaat. Tijdens de workshop krijgt de docent handvatten voor het organiseren van het certificeringstraject en de overgang naar een arbeidsovereenkomst. Daarnaast kan de docent de juiste nazorg voor de leerling organiseren, zodat er grotere kans is op duurzaamheid van de arbeidsplaats. De workshop duurt 1 dag. ","http://www.borisbaan.nl/Training_certificeren_en_nazorg.html",1,0,0
32,"Boris Docenttraining: Training Maatwerk-opleidingstraject uitvoeren","Waar in de vorige training (Maatwerktraject organiseren) de nadruk ligt op de het takenpakket bij de werkgever en deze vertalen naar een opleidingsplan, gaan we in deze training in op het omzetten van het opleidingsplan naar 'onderwijs', een opleiding. Dit traject is maatwerk en gaat uit van het concept van werkend leren. De workshop duurt 1 dag. ","http://www.borisbaan.nl/training_maatwerk_maken_2.html",1,0,0
33,"Boris Docenttraining: Training Werken met leerbedrijven","Om het werkend leren te organiseren kan de school gebruik maken van erkende leerbedrijven. In het eerste deel van de workshop ligt de focus op de voorbereiding en de start van het leer-werktraject bij een werkgever. Tijdens het tweede deel staat de samenwerking tussen school en leerbedrijf en de organisatie en uitvoering van het werkend leren traject van de leerling centraal. De workshop duurt 1 dag. ","http://www.borisbaan.nl/Training_werken_met_leerbedrijven.html",1,0,0
34,"Boris Management training: Arbeidstoeleiding en werkend leren","Tijdens deze training wordt aandacht besteed aan de context waarin de school opereert, de veranderde wetgeving en de wijze waarop arbeidstoeleiding en werkend leren in de school georganiseerd kan worden. Daarbij wordt duidelijk op welke wijze de Borisaanpak daarbij kan ondersteunen. De training duurt een halve dag. ","http://www.borisbaan.nl/Training_arbeidstoeleiding_en_werkend_leren.html",1,0,0
35,"Boris Management training: Training Implentenatie van werkend leren en opbouwen bedrijvennetwerk","Tijdens deze trainingsdag gaat het management concreet aan de slag met het uitwerken van een plan voor het implementeren van de Boris-systematiek in de eigen schoolorganisatie. Bovendien komen er gedurende de dag onderwerpen aan bod als het opbouwen van een netwerk van leerbedrijven in de regio en aansluiting op de regionale samenwerkingspartners. De training duurt 1 dag. ","http://www.borisbaan.nl/training-implementatie-van-werkend-leren-en-opbouwen-bedrijvennetwerk.html",1,0,0
36,"Borispraktijkloket","Voor een groep kwetsbare jongeren is de weg naar participatie niet vanzelfsprekend. Die groep bestaat onder andere uit leerlingen van het voortgezet speciaal onderwijs (vso) en het praktijkonderwijs (pro). De afgelopen jaren is gewerkt aan het project \"Boris brengt je bij 'n baan\". De Borisaanpak biedt leerlingen op een gestructureerde manier perspectief om een plek op de arbeidsmarkt te vinden. Door de inzet van een uitgebreide beroepsoriëntatie krijgen de leerling en zijn omgeving uitgebreid inzicht in de mogelijkheden van de leerling, waar vervolgens doelgericht aan gewerkt kan worden. Daarnaast zorgt een breed netwerk van bereidwillige werkgevers, intensieve begeleiding en de mogelijkheid tot het behalen van praktijkverklaringen ervoor dat uiteindelijk duurzame plaatsing bij een reguliere werkgever mogelijk is. ","https://www.borispraktijkloket.nl/over_het_boris_praktijkloket/modal",1,0,0
37,"Branchegericht opleiden en plaatsen (workshop of training)","Scholen richten zich in toenemende mate op rechtstreekse toeleiding van hun leerlingen naar de reguliere arbeidsmarkt. Stages en branche erkende certificaten spelen hierbij een belangrijke rol. Leerlingen dienen op zo'n manier te worden voorbereid op een baan dat hiermee tegemoet wordt gekomen aan zowel de eisen van de potentiële werkgever als aan de eisen die aan onderwijs worden gesteld. De methode branchegericht opleiden en plaatsen kan hierbij uitkomst bieden. Tijdens deze workshop wordt inzicht gegeven inde stappen van branchegericht opleiden en plaatsen. Ook worden voorbeelden aangereikt van ondersteunende instrumenten als De Stageplanner waarmee (stage)docenten de stage planmatig, opbrengstgericht en met vooraf gedefinieerde opdrachten kunnen vormgeven en (branchegericht) kunnen afsluiten.","http://www.edunova.nl/training/aanbod-aanmelding/wat-we-nog-meer-doen/",1,0,0
38,"Branchepaspoort","De interventie Branchepaspoort is een toeleidingstraject dat binnen de branches zorg, welzijn en kinderopvang (ouderzorg, psychiatrische zorg, kinderopvang, verstandelijk gehandicaptenzorg) deelnemers op innovatieve en efficiënte wijze naar werk leidt. Gezien de grote mate van overlap in gevraagde competenties tussen de verschillende domeinen hanteert dit traject een sectorbrede toeleiding om voldoende instroom in de sector te genereren. Deelname aan dit toeleidingstraject resulteert voor de deelnemers in een 'branchepaspoort zorg, welzijn & kinderopvang'. Dit paspoort geeft toegang tot een BBL-contract op niveau 3 bij een instelling binnen de betreffende branches.","http://www.interventiesnaarwerk.nl/interventies/branchepaspoort",1,0,0
39,"Brochure Werkgeven aan mensen met een arbeidsbeperking","Voor het programma Werkgevers gaan inclusief zijn de mogelijkheden voor werkgevers onderzocht vanuit financieel oogpunt. Deze digitale brochure helpt u de juiste afwegingen maken. Zo krijgt u snel een beeld van de mogelijkheden in uw bedrijf en wat financieel zinvol is.","https://werkgeversgaaninclusief.nl/sites/wgi/files/business_case_werkgevers_digiversie_190315.pdf",1,0,0
40,"Checklist curriculum voor leraren","Een checklist waarmee leerkrachten hun curriculum kunnen controleren. In de checklist zijn vragen opgenomen over bijvoorbeeld bekendheid met de eisen die het vervolgonderwijs, de arbeidsplaats of dagbesteding stelt aan het vak.","https://kwaliteitsnorm.lecso.nl/file/53287/Checklist%20curriculum.pdf",1,0,0
41,"Checklist spelregels op de werkvloer","In deze checklist informatie over wat te doen als er in uw bedrijf een medewerker met een afstand tot de arbeidsmarkt komt werken.  Voor elke collega is het belangrijk de spelregels op de werkvloer te leren kennen. De checklist is bedoeld als hulpmiddel om ongeschreven regels in uw bedrijf inzichtelijk te maken.","https://werkgeversgaaninclusief.nl/nl/knowledge/checklist-spelregels-op-de-werkvloer",1,0,0
42,"Doelorientatie","De interventie Doeloriëntatie is een workshop waarin deelnemers leerdoelen formuleren met betrekking tot werk. Leerdoelen zijn doelen die weergeven wat iemand bij zichzelf wil en kan ontwikkelen. Deelnemers geven in de workshop aan wat ze willen leren in hun zoektocht naar werk. Werkzoekenden met leerdoelen zoeken in het algemeen beter en vinden sneller werk dan werkzoekenden met prestatiedoelen. ","http://www.interventiesnaarwerk.nl/interventies/doelori%C3%ABntatie",1,0,0
43,"Edu4all","Edu'Actief biedt voor het schooljaar 2016-2017 een samenhangend aanbod van lesmaterialen voor verschillende profielen in het vmbo. Dit alles onder de naam Edu4all. Centraal staat het praktisch handelen, de theorie is daarbij ondersteunend. ","http://www.edu-actief.nl/edu4all",1,0,0
44,"Handboek PRO Meedoen Werkt!","Dit handboek is samengesteld voor begeleiders in het PrO. Het behandelt alle relevante zaken die te maken hebben met de toeleiding naar arbeid en daarin ook de participatiewet.","https://www.lecso.nl/file/53370/meedoen%20werkt%20HANDBOEK%20PrO.pdf",1,0,0
45,"Handboek VSO Meedoen Werkt!","Voor begeleiders in het VSO heeft participatiewet onderwijs een handboek samengesteld waarin alle relevante zaken behandeld worden die te maken hebben met de toeleiding naar arbeid en de rol van de participatiewet daarin.","https://kwaliteitsnorm.lecso.nl/file/53369/meedoen%20werkt%20HANDBOEK%20VSO.pdf",1,0,0
46,"Handreiking aan het werk met nieuwe collega's (SBCM)","Organisaties kunnen deze handreiking gebruiken wanneer er een medewerker met afstand tot de arbeidsmarkt bij hen komt werken. De handreiking bestaat uit achtergrondinformatie over belangrijke zaken bij het realiseren van een duurzaam werkverband en bevat tevens een korte checklist waarmee de werkgever kan vaststellen of overal aan gedacht is.","http://www.sbcm.nl/fileadmin/sbcm_data/producten/duurzaam_werkverband/producten/downloads/Handreiking_aan_het_werk_met_nieuwe_collegas_interactief_def.pdf",1,0,0
47,"Inzet stagebureau","Het stagebureau gaat op zoek naar werkplek/stageplaats die past bij de competenties, interesses leertraject en locaties van een leerling. Vervolgens vindt er eerst een kennismaking plaats met de werkgever zonder dat de leerling daarbij is, waarin de beperking duidelijk word uitgelegd. Daarna  volgt de kennismaking tussen werkgever en leerling. Wanneer dat klikt, wordt er gestart met een maand proeftijd. Er is, wekelijks contact tussen stagebureau en werkgever, eindgesprek, beoordeling met werkgever en leerling","http://mas.stagebureau.info/pagina/voor-docenten",1,0,0
48,"JIP"," JIP is ontwikkeld om organsaties te helpen die inclusiever willen worden en (meer) mensen met een beperking aan willen nemen. JIP inspireert, geeft tips, levert informatie en goede voorbeelden, zodat deze doelstellingen behaald kunnen worden.","https://werkgeversgaaninclusief.nl/nl/jip/intro",1,0,0
49,"Jobcarving ","Jobcarving is het creëren van een functie door (bij)taken uit verschillende andere functies samen te brengen tot één takenpakket dat past bij de mogelijkheden van een Wajonger. Jobcarving neemt bovendien uw andere medewerkers eenvoudig maar tijdrovend werk uit handen.","http://www.uwv.nl/overuwv/Images/Methode_maakwerk.pdf",1,0,0
50,"Jobcoaching (supported employment)","Jobcoaching zet je in om mensen te ondersteunen om hun werk te houden. Een jobcoach biedt systeemgerichte begeleiding aan mensen die niet zonder ondersteuning een betaalde baan kunnen vinden of houden. De jobcoach gaat uit van werk dat past bij de talenten en de ontwikkelingsmogelijkheden van de werknemer en zoekt een werkomgeving die past bij de werknemer. De jobcoach heeft kennis van de beperking en kan werknemer, werkgever en collega's begeleiden bij het inwerken en eventuele problemen die daarbij naar boven komen.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/algemene-regelingen/detail/interne-jobcoach",1,0,0
51,"Jonggehandicapten-korting","De jonggehandicaptenkorting is een belastingvoordeel voor jonggehandicapte werknemers (Wajongers). Neemt u een jonggehandicapte werknemer in dienst? Dan kunt u de jonggehandicaptenkorting verrekenen met zijn loon.","http://www.belastingdienst.nl/wps/wcm/connect/bldcontentnl/belastingdienst/prive/inkomstenbelasting/heffingskortingen_boxen_tarieven/heffingskortingen/jonggehandicaptenkorting",1,0,0
52,"Loonkostensubsidie","Instrument voor bedrijven die mensen inzetten die niet in staat zijn het minimumloon te verdienen. Op de werkplek wordt de loonwaarde vastgesteld. De loonkostensubsidie bedraagt max 70% van het wettelijk loon plus een vergoeding van 23% voor werkgeverslasten. ","http://wetten.overheid.nl/BWBR0035633/2015-01-01",1,0,0
53,"Matchcare/ SZeebra","Voor gemeenten, sociale diensten en wijkteams is SZeebra het platform voor de integrale oplossing, waarmee zowel de (arbeids-) participatie wordt vergroot als de zorgvragen in kaart worden gebracht.","https://www.matchcare.nl/over-matchcare/voor-sociaal-domein/productendiensten/szeebra-platform/",1,0,0
54,"Mobiliteitsbonus","Werkgevers die iemand uit de doelgroep in dienst nemen, ontvangen een mobiliteitsbonus. De bonus bestaat uit een korting op premies die de werkgever betaalt voor werknemersverzekeringen.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/extra-regelingen-voor-oudere-of-jonge-werknemers/detail/mobiliteitsbonus-voor-56-plussers",1,0,0
55,"Model ontwikkelings-perspectiefplan","Document met informatie over de wet- en regelgeving rondom het ontwikkelingsperspectief en voorbeelden hoe deze in een plan te zetten.","https://kwaliteitsnorm.lecso.nl/file/53368/Model%20ontwikkelingsperspectiefplan.pdf",1,0,0
56,"No-risk-polis","UWV en gemeente bieden bedrijven een no-riskpolis als zij iemand uit de doelgroep van de banenafspraak in dienst neemt. Wordt deze werknemer ziek? Dan ontvangt de persoon een Ziektewetuitkering van UWV. Ook krijgt de werkgever niet te maken met een premiestijging als de werknemer ziek uit dienst gaat, binnen 4 weken na het einde van het contract ziek wordt of na twee jaar ziekte recht krijgt op een WGA-uitkering.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/algemene-regelingen/detail/looncompensatie-bij-ziekte-no-riskpolis",1,0,0
57,"Onbeperkt aan de Slag","Onbeperkt aan de Slag faciliteert direct contact tussen werkzoekenden met een arbeidsbeperking en werkgevers. Werkgevers plaatsen op het digitale platform vacatures en werkzoekenden maken er een profiel aan. Daarnaast organiseert Onbeperkt aan de Slag in de regio's maandelijks Meet&Greets, waarbij werkgevers en werkzoekenden op een laagdrempelige manier kennis met elkaar kunnen maken (zie de Meet&Greet-kalender op onbeperktaandeslag.nl). ","https://onbeperktaandeslag.nl/",1,0,0
58,"Onbeperkt ondernemen","De website Onbeperkt Ondernemen bevat voorbeelden, tips en handreikingen voor werkgevers die arbeidsgehandicapten in dienst willen nemen. Ook de begeleiding daarvan komt nadrukkelijk aan bod. De site is ontwikkeld door SBCM.","http://www.onbeperktondernemen.com/home.html",1,0,0
59,"Praktijkverklaring","Het resultaat van de leerling wordt bekroond met een praktijkverklaring van het leerbedrijf met daarop het stempel van de bedrijfstak. Zo krijgt een slagersknecht die worst kan maken of een kapster die kan wassen en spoelen dat vermeld op deze praktijkverklaring. Ze erkennen daarmee inzetbaarheid van de jongere op die werkzaamheden voor de hele sector. Dat is een prima paspoort naar de arbeidsmarkt.","https://www.s-bb.nl/nieuws/praktijkverklaring-paspoort-naar-arbeid-voor-leerling-met-beperking",1,0,0
60,"Premiekorting","Een werkgever die een arbeidsgehandicapte of een oudere werknemer in dienst neemt kan tijdelijk korting op de WIA/WAO- en WW-premie krijgen. Met de Subsidiecalculator van UWV en de Belastingdienst kunt een werkgever gratis berekenen hoeveel subsidie hij/zij kan krijgen bij het in dienst nemen van bepaalde werknemers. Met de Regelhulp premiekortingen kan een werkgever kijken of hij/zij in aanmerking komt voor de premiekorting, wat de hoogte en de duur ervan is en hoe de premiekorting wordt toepast.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/extra-regelingen-voor-oudere-of-jonge-werknemers/detail/premiekorting-voor-jongere-werknemer",1,0,0
